Title;Description;Asset type;Tags
AdobeStock_113909382;Elegant businesswoman walking outdoors in the city.;Photos;sunglasses,fashion,sightseeing,trip,success,woman,boss,successful,modern,adult,style,travel,walking,ceo,buildings,elegant,women,professional,standing,lifestyle,career,person,executive,manager,confident,business,building,smiling,Adobe Stock,businesswoman,people,work,female,skyscraper,positive,city,corporate
AdobeStock_264619055;Young female in blue work coat is assembling printed circuit boards for smartphones. Electronics factory workers in a high tech factory facility.;Photos;chip,technician,tool,occupation,manufacture,precision,capacitor,workwear,electronic,employee,woman,workplace,worker,process,board,factory,silicon,production,hardware,working,professional,conveyor,technology,printed circuit board,manufacturing,mounting,protective,processor,concentration,motherboard,engineer,circuit,assembly,Adobe Stock,micro,work,industrial,detail,equipment,industry,pcb
GettyImages_103340331;Loading of iron ore on a barge at Saldanha Bay, South Africa;Photos;loading iron,GettyImages,South Africa,Getty Images,ore,barge,mining,Saldanha Bay,iron ore,iron
Employer Branding_Manufacturing_CMYK_2;;Photos;Employer Branding,cmyk,Employer Branding campaign,manufacturing,ABB employer branding
Drives factory Helsinki, MOSE workshop;Drives factory Helsinki, MOSE workshop, repairing, customer's drive;Photos;motion,man,workwear,employee,drives,services,factory,finland,workshop,MOSE,working,safety workwear,engineer,helsinki,reparing,customer's drive
AdobeStock_1187725730;Cyclone Tracy was a destructive tropical cyclone that struck Darwin, Australia on Christmas Day, 1974. It was one of the most destructive natural disasters in Australia's history. ;Photos;1974,town,tracy,destruction,christmas day,environment,abandoned,house,disaster,storm,Australia,natural disaster,darwin,broken,weather,damage,cyclone,homes,building,Adobe Stock,AdobeStock,seventies,tropical,city,catastrophe
GettyImages - 1343473005;;Photos;class,GettyImages,school uniform,elementary,learning,teacher,lesson,Getty Images,woman,communication,education,classroom,school,students,person,people,day,whiteboard,children,female,teaching,indoors
ABB Formula E 2024 Season 10 - 6;;Photos;race,Formula E,season 10,fe,championship,car,s10,ABB Formula E,motorsport,racing,sport,2024,race car,electric car
ABB Future of work 1293 ;;Photos;Employer Branding,talking,indoor,future of work,Employer Branding campaign,Employee,men,Smiling,day,tablet,people working
Charles E. Brown - Painting;Painting of Charles E. Brown, one of the two founders of BBC.Gem_lde von Charles E. Brown, einem der beiden Gr�nder von BBC.;Photos;BBC founder,historical portrait,CH-COM,Charles E. Brown,historical image,painting,Switzerland
Segments - Sugar 3;White granulated sugar and refined sugar cubes close-up.;Photos;sweet,sucrose,unhealthy,horizontal,texture,cube,close,fine,textured,white,granulated,production,background,food,refined,sugar,sweeten,portion,crystal,cooking,ingredient,closeup,pile,backgrounds,Adobe Stock,industry segments,segments,detail
Employer Branding LATAM - 7;Images to be used for Employer Branding and HR Marketing purposes.;Photos;branding,employer branding,LATAM,employer branding campaign,marketing materials,ABB employer branding,employer
AdobeStock_523407547;Factory for the production of edible oils. Shallow DOFF. Selective focus. Ukraine.;Photos;machinery,oil factory,automated,continuity,plant,motion,cap,row,fat,automated process,liquid,sunflower oil,belt,moving,sunflower seed oil,factory,plastic,sunflower,production,food,ukraine,oil,food and drink,packaging,cooking oil,filling,conveyor,bottling,technology,pouring,yellow,cooking,full,production line,bottle,Adobe Stock,work,container,edible,AdobeStock,seed,industry,machine,line,food processing plant
ABB Future of work 0101;;Photos;working people,Employer Branding,robot,indoor,future of work,programming,Woman,study,testing,People,working,Employer Branding campaign,Employee,Smiling,picking,Employees,day,robots
B&R - Jason-Li 2025 - 09;Regional Managing Director of Greater China region.;Photos;business portrait,Jason-Li,management,office,interview,portrait,business portait,B&R,business people,B&R Social Media,conversation,official portrait
AdobeStock_675146086;City business building nature background illustration architecture design, sky skyscraper, environmental energy city business building nature background. AI generated.;Photos;apartment,plant,future,rooftop,electricity,design,cityscape,nature,panels,district,metro,sky,office,energy,glass,environment,modern,center,urban,sustainable,construction,photovoltaic,park,solar,eco,background,tree,illustration,view,futuristic,downtown,environmental,ecology,morning,architecture,business,building,Adobe Stock,friendly,ai generated,sustainability,green,skyscraper,industry,city,garden
B&R - Compact high performance;The C20EM1613 variant can be expanded with an interface module for additional communication protocols.;Photos;compact,interface module,high performance,protocols,communication,B&R,C20EM1613
B&R - AdobeStock 114088701;;Photos;clear sky,horizontal,motion,man,solo,tan,workout,adult,determined,sunshine,fit,water,drinking,sports clothing,fitness,sport,hydration,pause,grass,adobe stock,athletic,B&R,sunny,warm,summer,outdoor,rest,bottle,active,muscular,alone,from the back,motivation,male
B&R Technology moment with YUMI - campus opening;www.matthowell.co.uk 07740 583906;Photos;campus opening,robot,yumi,technology,B&R
B&R - ACOPOS-6D 8FLS4.16160 - back;B&R ACOPOS 6D;Photos;Mechatronic Systems,ACOPOS 6D,ACOPOS 6D collection,b&r,mechatronics,ACOPOS6D,ABB B&R
B&R - Implementation of vision applications made easy;;Photos;B&R,adaptive
B&R - ramps up production;Photo from B&R's production facility at their headquarters in Eggelsberg Austria.;Photos;Ramp up,factory floor,employees,Factory,ThisIsAutomation,Austria,Big5,B&R headquarters,production,Innovations Brochure 2024,B&R employees,workers,B&R,Eggelsberg
B&R Headquarters - 1;;Photos;B&R Headquaters,Headquarters,Building
Industry - Cement and glass 3;;Photos;dust,cement and glass,tower,factory,pipe,production,engineering,technology,adobe stock,ecology,soil,architecture,industry
B&R - ACOPOStrak header;Mechatronic system;Photos;ACOPOStrack,Mechatronic Systems,ACOPOS,header,B&R,ABB B&R
Typical Montreal neighborhood street with staircases;Typical Montreal neighborhood street with staircases;Photos;staircase,apartment,street,structure,residential,quebec,road,home,row,urban,steps,construction,house,old,houses,sidewalk,canada,tree,stairs,brownstone,neighborhood,montreal,exterior,building,Adobe Stock,door,city,entrance
GettyImages_536059901;Smiling businesswoman leading project discussion during meeting with coworkers at office conference room table;Photos;meeting,GettyImages,happiness,inspiration,Getty Images,office,project,vitality,table,leadership,smile,ideas,discussion,businesswoman,conference room
GettyImages - 1180989361;Pink sky at sunset over Limmatquai and Grossmunster church mirrored in Limmat River, Zurich, Switzerland.;Photos;outdoors,pink,riverbank,bridge,GettyImages,limmatquai,europe,Getty Images,tower,destination,reflection,water,munsterbrucke,buildings,Zurich,church,old town,building exterior,river,view,city center,sunset,bell tower,architecture,mirrored,river bank,Switzerland,city,photo
AdobeStock_903662962;Abstract silver metallic spiral pattern background. ;Photos;layer,harmony,embellishment,artistic,pattern,texture,design,backdrop,silver,spiral,metallic,vibrant,experimental,dynamic,background,composition,flowery,lustrous,curvy,luminous,shiny,artwork,geometric,hypnotic,decorative,Adobe Stock,aesthetic,abstract,AdobeStock,photo
B&R - AdobeStock 492523311;Happy working woman discussing with colleague over tablet PC at work place;Photos;discussing,meeting,using,mid,happiness,occupation,man,talking,woman,place,wireless,workplace,Internet,office,colleagues,adult,Adults,businessman,mature,computer,communication,black,pc,digital tablet,Wireless Technology,digital,Connection,using digital tablet,working,colleague,technology,happy,pair,mid adults,adobe stock,mature men,B&R,group,discussion,online,business,smiling,businesswoman,business people,two,people,work,mature adults,female,tablet,male,mid adult women
ABB Future of work 1241 ;;Photos;working people,Employer Branding,robot,collaboration,IRB 360 Flexpicker,man,indoor,future of work,IRB 360,testing,People,working,Employer Branding campaign,Employee,FlexPicker,Looking,men,picking,Employees,day,robots,checking
Adrian Guggisberg - portrait 3;Portraits of MOSE President that can be used for internal and external communications.;Photos,Illustrations;Adrian Guggisberg,portrait,business portait,MOSE,functional imagery,president
Drives factory Helsinki, System Drives, Cabinets;Drives factory Helsinki, System Drives, Cabinet Drives, manufacturing;Photos;motion,repairing,employee,woman,drives,factory,finland,working,cabinet,manufacturing,engineer,helsinki
TV tower in Berlin, Germany;Fernsehturm (Television Tower) located at Alexanderplatz in Berlin, Germany;Photos;tourism,tv,structure,european,town,sightseeing,europe,cityscape,Tower,berlin,place,alexanderplatz,destination,urban,travel,touristic,construction,fernsehturm,nobody,old,capital,attraction,interest,germany,view,downtown,berliner,television,culture,history,exterior,architecture,building,Adobe Stock,famous,landmark,scene,city,historic,german
AdobeStock_468348788;;Photos;electric,automated,future,transportation,assembly line,manufacture,talk,industry 4.0,wireless,mechanical,discuss,modern,innovation,robotic arm,computer,factory,automobile,car,production,internet,network,digital,colleague,futuristic,engineering,conveyor,technology,adobe stock,smart factory,vehicle,welding process,facility,engineer,team,assembly plant,specialist,robotics,work,stock image,internet of things,industry,tablet,laptop
Employer Branding_Sustainability_2;"Images to be used for Employer Branding and HR Marketing purposes (digital use; batch 3)";Photos;Employer Branding,marketing,Employer Branding campaign,marketing materials,sustainability,ABB employer branding
GettyImages_1147346591;Container ship in import export and business logistics, By crane, Trade Port, Shipping cargo to harbor, Aerial view from drone, International transportation, Business logistics concept;Photos;import,crane,GettyImages,aerial view,Getty Images,port,marine,export,import export,business logistics,container ship,shipping cargo
Racing Monaco;;Photos,3D;race,monaco,driving,training,auto,blue,road,motorsport,racing,3d,sport,movement,car front,helmet,speed,race car,Adobe Stock,team,driver,city
Industry - Life Science 3;Microscope on a lab bench with selective focus, set in a bright, modern laboratory full of scientific equipment.;Photos;clinical,lab work,chemistry,health,medicine,scientific study,life science,lab,precision,lenses,modern lab,optics,blue,pharmaceutical,lab testing,scientific discovery,sample,life sciences,experiment,lab equipment,bright,microbiology,healthcare,glassware,study,innovation,education,scientific,biology,testing,discovery,lab bench,focus,science,medical,professional,research,technology,biochemistry,laboratory,scientific research,biotech,analysis,clean,medical research,Adobe Stock,instrument,microscope,equipment
Employer Branding - 27;;Photos;branding,employer branding,marketing,human resources,HR,employer branding campaign,marketing materials,HR marketing,ABB employer branding,employer
B&R - Automation PC 2200 - 3;B&R's APC 2200;Photos;Box PC,Automation PC,APC 2200,Computer,industrial PC's,industrial PC,Automation PC's,Automaton PC 2200,B&R,APC2200,APC,automation PC 2200
Two colleagues discussing during coffee break;Office employees is meeting together, looking at each other in front of the laptop and discussing. Two colleagues discussing during coffee break, coworkers have friendly conversation. Teamwork concept.;Photos;teamwork,meeting,occupation,success,cooperation,talking,employee,office,expertise,businessman,working,colleague,ideas,coworker,discussion,smiling,Adobe Stock,businesswoman,people,laptop computer,coworking,startup,two people,laptop,indoors
Buddhist hold lanterns;Buddhist hold lanterns and garlands praying at night on Vesak day for celebrating Buddha's birthday in Eastern culture.;Photos;religious,lantern,eastern,east,pray,candle,holiday,paper,dark,lamp,peace,flame,tradition,light,buddhist,celebration,vesak,birthday,asia,temple,worship,red,decorating,buddhism,hold,buddha,celebrate,yellow,festival,wish,colorful,hand,luck,celebrating,culture,night,Adobe Stock,people,garland,flower,lotus,religion,traditional
Employer Branding_Early Talents_5;Images to be used for Employer Branding and HR Marketing purposes;Photos;employer branding,marketing,early talents,reading,human resources,woman,HR,employer branding campaign,marketing materials,tablet,ABB employer branding,checking
Erich Labuda - 11;;Photos;Erich Labuda,head of business development,head of strategy,head of marketing,portrait,Labuda,business portait,functional imagery,business,head of,official portrait
AdobeStock_647004517;Eco-Friendly Glass Office: Sustainable Building with Trees and Green Environment. AI generated.;Photos;co2,efficient,structure,plant,future,materials,design,protection,finance,nature,development,office,energy,glass,environment,modern,material,forest,sustainable,eco-friendly,construction,carbon,footprint,eco,environment-friendly,tree,oxygen,ecological,futuristic,neutral,wall,infrastructure,esg,safety,ecology,ecosystem,exterior,architecture,business,building,leaf,Adobe Stock,eco-conscious,ai generated,sustainability,green,city,corporate
Abstract background lines and cracks - detail of rocky marl terrain;;Photos;conception,ambiance,matière,gros plan,structure,forme,rude,dry,texture,traces,désert,design,gypse,nature,crack,grunge,abstrait,montagne,naturel,argile,ondes,superficie,gris,arrière-plan,environnement,macro,foncé,noir,géologie,minéral,terre,sécheresse,sable,texturé,marne,rocher,pierre,aride,terrain,dunes,matériau,détail,modèle
B&R - Florian Schneeberger 2023;;Photos;business portrait,portrait,business portait,Florian Schneeberger,B&R,business people,people
05 - Björn Rosengren;Former Chief Executive Officer, former Member of the Group Executive Committee of ABB Ltd, Switzerland;Photos;Bjorn Rosengren,business portrait,executive committe member,portrait,functional imagery,executive committe,business,official portrait
B&R - Innovations website images 4K - 6 04 APRIL;B&R Innovations images MAY-JUNE 2025;Photos;4K,website,innovation spotlight,products,images,innovation,industries,b&r software,image,B&R,B&R Social Media
ABB EB JING R&D 1;;Photos;North Carolina,teamwork,Employer Branding,R&D,United States of America,Raleigh,CRC,corporate research center,Product manager,Jing,Cary,Global Campaign,Employer Branding campaign,ABB People,United States,US,Research and Development
Motion Professionals_Photo Shoot_Meetings_23;Photos of young & experienced professionals at ABB Switzerland, showing their daily work life.;Photos;teamwork,Employer Branding,ABB Employees,Emloyee at work,young professional,europe,human resources,ABB factory,Branding,communication,ABB Motion,Turgi,ABB Switzerland,experienced professional,ABB People,Employee,ABB factory employee,internal communication,Switzerland,ABB employer branding
ABB_EB_RAJ_SWITCHGEAR_1;Product management for hybrid switchgear PASS, Vadodara, India;Photos;Employer Branding,pointing,man,switch gear,Hero,jpeg,customer,Raj,rev_JD,Architecture,Product manager,product management,experienced professional,Quality,City,Global Campaign,Employer Branding campaign,Rajdeepak,HR,outdoor,vadodara,Architecture And Buildings,india,PASS
Coop Group in Schafisheim, Switzerland;"Switzerland's largest Bakery Coop Group.
ABB delivered:
18 IE4 motors (132-355 KW)
18 ACS880 variable speed drives
15 robots IRB 6700 robots
IRB 360 Flexpicker
7 Pro-33.0-type solar inverters";Photos;drives and motors,drive,F&B,ABB Motion,Motor,Motion,ABB robot,food and beverage,Switzerland,robots
GettyImages_1249185022;A container ship at deep blue sea from above;Photos;angle view,sea,from above,GettyImages,blue sea,Getty Images,ship,container ship,above,container
China Robot Factory - robot station;IRB6640 screwing the gearbox;Photos;robot,IRB6640,not-edited2018,rev_AW,PA
B&R - Rosa Meckseper 2025 - 04;Rosa Meckseper, B&R Germany;Photos;Rosa Meckseper,portrait,business portait,B&R Germany,B&R,business people,people,Management,official portrait
B&R Showroom Wall - Motion control;;Photos;Customer experience,design,showroom,screen,motion control,control,wall,B&R,fairs,event,eggelsberg,austria,indoors
Industry - Oil and gas 1;;Photos;pollution,plant,fuel,pipeline,blue,chimney,sky,energy,environment,Oil and gas,factory,petrochemical,metal,pipe,production,gas,oil,technology,pipes,refinery,Adobe Stock,power,steel,industrial,equipment,industry,chemical
B&R - Headquarters 2021, Campus;B&R Headquaters, Campus, October 2021, Austria, Eggelsberg;Photos;campus,indoor,B&R headquarters,headquarter,B&R,Eggelsberg,headquarters
AdobeStock_660023893;;Photos;holiday,candleholder,candlelight,home,jewish,food,family,celebrate,people,meal,religion,dinner
AdobeStock_345745853;;Photos;sea,aerial,from above,beach,landscape,town,shot,lake,cityscape,Tower,drone,sky,America,office,modern,urban,Skyline,travel,Chicago,Blue,Architecture,water,panorama,buildings,river,New York,view,downtown,City,high,illinois,building,Adobe Stock,landmark,skyscraper,michigan
AdobeStock_269676794;;Photos;smoke,soldier,battlefield,swat,town,warfare,force,apocalyptic,tank,destruction,army,battle,silhouette,special,camouflage,weapon,armor,helicopter,destroy,background,uniform,soldiers,operation,attack,war,combat,parachute,Adobe Stock,armed,warrior,action,military
B&R - Maritime- T50 mobile - Maritime certification + DNV Certification - 43;Innovations 2025 - image material Q2;Photos;T50,features,product promotion,product updates,product launch,innovation,DNV,key visuals,innovations 2025,Maritime,B&R
AdobeStock_185429460;;Photos;屋内,40代,ホワイトニング,ウィッグ,おばさん,矯正下着,明るい,アラフォー,スタジオ,もたれる,ボディシェイパー,主婦,写真,カメラ目線,正面,笑顔,女性,中高年,50代,一人,モデル,清潔感,ポーズ,ミセス,アクセサリー,ミドル,上半身,大人,壁,立つ,文字スペース,人物,白バック,美容,ヘアスタイル,Adobe Stock,コピースペース,上品,流行,白背景,撮影,アジア人,日本人,おしゃれ,ポートレート,きれい,テキストスペース,プチ整形,ボディライン,unrecognizable,アラフィフ,中年
AdobeStock_114536052;;Photos;depot,transportation,logistic,cargo,delivery,factory,supply,stock,shipping,distribution,truck,hardware,cardboard,packaging,delivering,package,storehouse,storage,boxes,workers,outdoor,business,smiling,Adobe Stock,team,packing,warehouse,industrial,freight,AdobeStock,industry,photo,laptop,goods
ABB EB JING R&D 3;;Photos;North Carolina,teamwork,Employer Branding,R&D,United States of America,Raleigh,CRC,corporate research center,Product manager,Jing,Cary,Global Campaign,Employer Branding campaign,ABB People,United States,US,Research and Development
Hoist Mining;Mining application specific visuals;Photos;motion,visual,Mining,System Drives,Hoist,application image,mining industry
Former ABB CEO Björn Rosengren - 3;Former Chief Executive Officer, member of the Group Executive Committee of ABB Ltd, Switzerland;Photos;chief executive officer,Bjoern Rosengren,EC member,Business Portrait,CEO,EC,portrait,functional imagery,Executive Committee,official
AdobeStock_60346758;;Photos;ground,Sunset,tourism,beach,dust,landscape,dune,dry,holiday,emirates,nature,exotic,sky,climate,surface,sandy,environment,Pattern,destination,earth,oman,travel,africa,arid,background,Horizontal,brown,wild,hot,erosion,desert,extreme,orange,red,sand,yellow,drought,weather,adventure,sahara,summer,outdoor,soil,Asia,Adobe Stock,wilderness,geology,vacation,natural,scenery
ABB Ability Energy and Asset Manager;This is the main visual to support our ABB Ability Energy and Asset Manager communication;Photos;visual,communication,Asset Manager,manager,ABB Ability Energy,asset,ABB Ability
Analia Troncoso - 8;Global Head of Strategy, Business Development, Sustainability and Marketing, ABB Motion;Photos;business portrait,management,Analia Troncoso,MO,ABB Motion,portrait,functional imagery,business,official portrait
B&R - Value Provider Program Statement - Davide Pagliarulo;The package contains open fiiles. See additional files section.;Photos;Davide Pagliarulo,Global Sales Channel Manager,statement,B&R,Manager,people,value provider program,Global Sales
B&R - Value Provider Program Statement - Davide Pagliarulo;The package contains open fiiles. See additional files section.;Photos;Davide Pagliarulo,Global Sales Channel Manager,statement,B&R,Manager,people,value provider program,Global Sales
AdobeStock_664205448;;Photos;clean technology,electric,landscape,farm,electricity,field,blue,nature,panels,sky,energy,alternative,environment,alternative energy,photovoltaic,solar panel,wind,solar,solar power,windmill,panel,technology,mill,renewable energy,ecology,windfarm,clean,sunlight,wind power,wind turbine,Adobe Stock,cell,power,sun,AdobeStock,green,industry,solar energy,generator,renewable,turbine
Employer Branding_SEA_8;Images to be used for Employer Branding and HR Marketing purposes.;Photos;branding,employer branding,human resources,SEA,HR,employer branding campaign,HR marketing,employer
AdobeStock_365339525;Panoramic view of an open pit metal mine in Peru;Photos;ground,exploration,landscape,horizontal,site,level,mountain,rock,field,nature,sky,open,geological,environment,copper,stone,material,coal,color,gold,metal,panorama,mine,brown,explore,view,engineering,mining,orange,cloud,hill,sunlight,outdoor,Adobe Stock,mineral,geology,iron,day,heavy,industry,large,metallurgical
ABB Artwork Jungfrau Side;;Photos;gas emission cut,energy reduction,Artwork,mountains,high mountains scenery,Jungfraubahn,emission reduction,jungfrau side,train,best practice
MOLM Västerås Factory Manufacturing - 31;Images from the MOLM Västerås factory photoshoot.;Photos;ABB employee,AMS,MOLM,AMS synchronous motor,worker,factory worker,factory,Västerås,synchronous motor,working,engineer,ABB Sweden,ABB Machines,people
ABB Formula E 2024 Season 10 - 19;;Photos;race,Formula E,season 10,fe,championship,car,s10,ABB Formula E,motorsport,racing,sport,2024,race car,electric car
AdobeStock_379012795;Gas tap with pipeline system at natural gas station. Industry.;Photos;valve,fuel,pipeline,station,tube,piping,supply,pipe,production,gas,system,engineering,tap,faucet,technology,connection,storage,resources,shiny,transmission,Adobe Stock,power,pump,steel,industrial,AdobeStock,industry,natural,photo
shutterstock_1908949813;team of four creative engineers working with virtual reality, young woman testing VR glasses or goggles sitting in the office room.;Photos,3D;Shutterstock,goggles,young,future,design,man,hardhat,woman,simulator sitting,modern,inspector,project,headset,shopping simulation,glasses,looking,people person,play,innovation,computer,construction,experience,background,digital,3d,entertainment,futuristic,technology,reality,helmet,game,person,watching,business,device,people,vr,work,foreman,female,equipment,industry,gadget,male,virtual,simulation,video
Modular Induction Motor Image - 11;Modular induction motor in the Helsinki factory.;Photos;ABB employee,AMI,Finland,enigeer,Modular induction motor,factory worker,factory,induction,working,manufacturing,people,induction motor,Helsinki
ABB mining double drum hoist - 2;;Photos;hoist,drum hoist,mining,PA
Cement (resized);;Photos;cement,resize,resized,Process Automation,PAPI,PA
AdobeStock_194464574;Dump Trucks transporting Platinum ore for processing;Photos;machinery,transportation,raw materials,rock,transporting,stone,material,processing,moving,stones,truck,loader,commodity,mining,sunset,adobe stock,lifting,vehicle,rough,yellow,industrialization,hauler,work,geology,transporting ore,industrial,AdobeStock,equipment,heavy,industry,natural,machine,dump truck,sorting
Piston Compressor;"Application:  Piston compressor
Typical segment: Food and Beverage
Actual motor: 1,5 kW
VSD example: ACS580-01

Additional info: 
Piston compressors are part of chiller systems to refrigerate food.";Photos;food industry,piston compressor,compressor,F&B,F&B application,food and beverage,motor,piston
Piston Compressor;"Application:  Piston compressor
Typical segment: Food and Beverage
Actual motor: 1,5 kW
VSD example: ACS580-01

Additional info: 
Piston compressors are part of chiller systems to refrigerate food.";Photos;food industry,piston compressor,compressor,F&B,F&B application,food and beverage,motor,piston
Fusion Asea and BBC;Information publication for key personnel after the announcement of the merger, 1988;Photos;ASEA,CH-COM,key personnel,fusion,BBC,1988,historical image,people,Employees,Switzerland
B&R - Adaptive manufacturing technologies - 17;;Photos;codian robot,Codian,robot,adaptive manufacturing,technologies,pick & place,technology,manufacturing,demo unit,B&R,delta robot
Employer Branding_SEA_4;Images to be used for Employer Branding and HR Marketing purposes.;Photos;branding,employer branding,human resources,SEA,HR,employer branding campaign,HR marketing,employer
GettyImages_1149003737;Aerial top view Ship tanker Liquefied Petroleum Gas (LPG)  at refinery bridge on the sea loading/unloading Gas for Transportation.;Photos;sea,transportation,GettyImages,aerial view,Getty Images,tanker,refinery bridge,ship,aerial top view,lpg,top aerial view,ship tanker
B&R - Machine vision solutions by B&R - 6;B&R machine vision solutions on display;Photos;solutions,camera,vision,B&R,device,trade fair,machine vision,machine
